,file,shot_id,start,end,start_s,end_s,duration
0,5531550228324592939.mp4,1,00:00:00:00,00:00:00:12,0.0,0.12,0.12
1,5531550228324592939.mp4,2,00:00:00:13,00:00:00:24,0.13,0.24,0.10999999999999999
2,5531550228324592939.mp4,3,00:00:01:00,00:00:01:18,1.0,1.18,0.17999999999999994
3,5531550228324592939.mp4,4,00:00:01:19,00:00:02:05,1.19,2.05,0.8599999999999999
4,5531550228324592939.mp4,5,00:00:02:06,00:00:24:13,2.06,24.13,22.07
5,5531550228324592939.mp4,6,00:00:24:14,00:00:25:05,24.14,25.05,0.9100000000000001
6,5531550228324592939.mp4,7,00:00:25:06,00:00:28:07,25.06,28.07,3.0100000000000016
7,5531550228324592939.mp4,8,00:00:28:08,00:00:28:22,28.08,28.22,0.14000000000000057
8,5531550228324592939.mp4,9,00:00:28:23,00:00:29:07,28.23,29.07,0.8399999999999999
9,5531550228324592939.mp4,10,00:00:29:08,00:00:31:15,29.08,31.15,2.0700000000000003
10,5531550228324592939.mp4,11,00:00:31:16,00:00:34:15,31.16,34.15,2.9899999999999984
11,5531550228324592939.mp4,12,00:00:34:16,00:00:35:00,34.16,35.0,0.8400000000000034
12,5531550228324592939.mp4,13,00:00:35:01,00:00:36:10,35.01,36.1,1.0900000000000034
13,5531550228324592939.mp4,14,00:00:36:11,00:00:44:08,36.11,44.08,7.969999999999999
14,5531550228324592939.mp4,15,00:00:44:09,00:00:46:23,44.09,46.23,2.1399999999999935
15,5531550228324592939.mp4,16,00:00:46:24,00:00:49:16,46.24,49.16,2.9199999999999946
16,5531550228324592939.mp4,17,00:00:49:17,00:00:55:16,49.17,55.16,5.989999999999995
17,5531550228324592939.mp4,18,00:00:55:17,00:00:57:07,55.17,57.07,1.8999999999999986
18,5531550228324592939.mp4,19,00:00:57:08,00:00:59:19,57.08,59.19,2.1099999999999994
19,5531550228324592939.mp4,20,00:00:59:20,00:01:01:12,59.2,61.12,1.9199999999999946
20,5531550228324592939.mp4,21,00:01:01:13,00:01:16:03,61.13,76.03,14.899999999999999
21,5531550228324592939.mp4,22,00:01:16:04,00:01:18:02,76.04,78.02,1.9799999999999898
22,5531550228324592939.mp4,23,00:01:18:03,00:01:20:01,78.03,80.01,1.980000000000004
