,filename,shot_id,begin,end,transcript
0,5531550228324592939.xml,1,0.0,0.12,
1,5531550228324592939.xml,2,0.13,0.24,
2,5531550228324592939.xml,3,1.0,1.18,
3,5531550228324592939.xml,4,1.19,2.05,
4,5531550228324592939.xml,5,2.06,24.13,
5,5531550228324592939.xml,6,24.14,25.05,
6,5531550228324592939.xml,7,25.06,28.07,"Getting all dolled up, going somewhere nice tonight?"
7,5531550228324592939.xml,8,28.08,28.22,
8,5531550228324592939.xml,9,28.23,29.07,
9,5531550228324592939.xml,10,29.08,31.15,"Yeah, curry night at Dad's. "
10,5531550228324592939.xml,11,31.16,34.15,Wicked.  If you like yesterday's chicken with a tin of curry sauce chucked all over it.
11,5531550228324592939.xml,12,34.16,35.0,
12,5531550228324592939.xml,13,35.01,36.1,"In your condition it's nice to have  someone cook for you, innit?"
13,5531550228324592939.xml,14,36.11,44.08,"My condition?  I'm pregnant, not paralysed. Even so, carrying all that around.  Oi,  that's my baby you're talking about."
14,5531550228324592939.xml,15,44.09,46.23,
15,5531550228324592939.xml,16,46.24,49.16,"I know. But look,  you've got to take it easy. I ain't got to take it anything. "
16,5531550228324592939.xml,17,49.17,55.16,"All right, ""I ain't got  to take it anything."" Come out tonight.  What's this?"
17,5531550228324592939.xml,18,55.17,57.07,
18,5531550228324592939.xml,19,57.08,59.19,"What it says it is, special night  at R&R's. Happy Mondays."
19,5531550228324592939.xml,20,59.2,61.12,
20,5531550228324592939.xml,21,61.13,76.03,"Yeah? What's happy about it?  Happy hour all night, on everything.  It's going to be a thomping night.  Yeah, who says?  Says her who owns this place  and works there. Listen, when that closed sign  goes up I'm going to be squeezing this  delectable body into something that clings in all the right places,"
21,5531550228324592939.xml,22,76.04,78.02,
22,5531550228324592939.xml,23,78.03,80.01,
23,5531550228324592939.xml,24,80.02,82.17,"and I'm going to put it out there.  Yes, I am."
24,5531550228324592939.xml,25,82.18,83.17,
25,5531550228324592939.xml,26,83.18,86.23,"Sounds great.  So you coming tonight, then? You don't think a pregnant bird  reeking of jalfrezi might cramp your style? Maybe."
26,5531550228324592939.xml,27,86.24,87.15,
27,5531550228324592939.xml,28,87.16,89.2,
